html_url,id,names.types.ror_display,status,types,names.types.alias,names.types.label,names.types.acronym,links.type.website,links.type.wikipedia,domains,established,external_ids.type.fundref.all,external_ids.type.fundref.preferred,external_ids.type.grid.all,external_ids.type.grid.preferred,external_ids.type.isni.all,external_ids.type.isni.preferred,external_ids.type.wikidata.all,external_ids.type.wikidata.preferred,city,country,locations.geonames_id,parent,child,related,successor,predecessor,nid,comments
,https://ror.org/025ry1r71,Elanco Animal Health (Germany),active,company;funder,Bayer Animal Health*en; Bayer Animal Health GmbH*de,Elanco Animal Health (Germany)*en; Elanco Animal Health*en; Elanco Animal Health GmbH*de,,,,,,100014851,100014851,,,,,,,Monheim am Rhein,Germany,2869791,https://ror.org/02jg74102,,https://ror.org/04hmn8g73,,,R000026,"openalex_funder_id=F4320333713; crossref_funder_doi=https://doi.org/10.13039/100014851; openalex_priority=A; openalex_type_guess=organisation; awards_in_openalex=14; works_in_openalex=658; country_code=DE | VERIFIED: type=company; established=unknown; keep_alias=False; affiliation_usage=crossref_exact; website=dead; ids=; confidence=medium; established_source=not_found; adversarial_change=Kept pass 1's scope (in_scope), dup verdict (rejected), ror_type (company), established (null) and website verdict (none, dead). Overturned the identity presentation: official_name 'Bayer Animal Health' -> 'Elanco Animal Health (Germany)', because North Data + GLEIF + Crossref affiliations together show one Unternehmensträger (same LEI 5299000AXZ5FILARNL81, both HRB numbers) renamed in 2023, not two entities. Consequent changes: labels expanded to carry current legal, English and former-name forms; city/geonames moved to the current registered seat Monheim am Rhein (2869791); pass 1's self-referential 'successor: Elanco Animal Health GmbH' edge removed; parent changed from Bayer (Germany) to Elanco (United States) 02jg74102, with Bayer (Germany) 04hmn8g73 retained as a 'related' former-parent edge.; scope=in_scope; adversarial_overturned=official_name,labels,city,geonames_id,relationships[0].parent,relationships (successor edge)"
,https://ror.org/05japc090,Relypsa (United States),active,company;funder,"Relypsa, Inc.*en",Relypsa*en,,,,,2007,501100015002,501100015002,,,,,,,Redwood City,United States,5386834,https://ror.org/0185z7g17,,,,,R000029,openalex_funder_id=F4320336263; crossref_funder_doi=https://doi.org/10.13039/501100015002; openalex_priority=A; openalex_type_guess=organisation; awards_in_openalex=0; works_in_openalex=615; country_code=US | VERIFIED: type=company; established=2007; keep_alias=True; affiliation_usage=crossref_exact; website=dead; ids=; confidence=high; established_source=other_source; scope=in_scope
,https://ror.org/056wxrm96,State Grid Jiangsu Electric Power (China),active,company;funder,,"State Grid Jiangsu Electric Power*en; State Grid Jiangsu Electric Power Co., Ltd.*en; 国网江苏省电力有限公司*zh",,http://www.js.sgcc.com.cn/,,js.sgcc.com.cn,,501100015330,501100015330,,,,,,,Nanjing,China,1799962,https://ror.org/05twwhs70,https://ror.org/00emjrx81,,,,R000032,"openalex_funder_id=F4320336329; crossref_funder_doi=https://doi.org/10.13039/501100015330; openalex_priority=A; openalex_type_guess=organisation; awards_in_openalex=185; works_in_openalex=579; country_code=CN | VERIFIED: type=company; established=unknown; keep_alias=False; affiliation_usage=crossref_exact; website=correct; ids=; confidence=high; established_source=not_found; adversarial_change=Scope (in_scope), dup_verdict (rejected), ror_type (company), established (null) and both relationships all re-derived independently and confirmed; the website URL and domain also stand. One field overturned: website_status 'unreachable' -> 'correct', because http://www.js.sgcc.com.cn/ answered HTTP 200 here with the company's own name in the title and footer. That primary source also upgraded the evidence behind city (address 南京市上海路215号), country and the zh label, which pass 1 had inferred from ROR/affiliation strings, and it confirmed no founding year is published.; scope=in_scope; adversarial_overturned=website_status"
,https://ror.org/029jvh055,Taiwan Biobank,active,facility;funder,,Taiwan Biobank*en; 臺灣人體生物資料庫*zh,,https://www.twbiobank.org.tw/,,twbiobank.org.tw,2012,501100010208,501100010208,,,,,Q116205047,Q116205047,Taipei,Taiwan,1668341,https://ror.org/05bxb3784,,,,,R000033,openalex_funder_id=F4320309368; crossref_funder_doi=https://doi.org/10.13039/501100010208; openalex_priority=A; openalex_type_guess=organisation; awards_in_openalex=20; works_in_openalex=573; country_code=TW | VERIFIED: type=facility; established=2012; keep_alias=False; affiliation_usage=crossref_exact; website=correct; ids=wikidata_id; confidence=high; established_source=org_website; scope=in_scope; adversarial_overturned=established_source
,https://ror.org/053cg0167,Joint Institute for Computational Fundamental Science,active,funder,,Joint Institute for Computational Fundamental Science*en; 計算基礎科学連携拠点*ja,JICFuS*en,https://www.jicfus.jp/,,jicfus.jp,2009,100018387,100018387,,,,,,,Tsukuba,Japan,2110681,,,https://ror.org/01g5y5k24; https://ror.org/02956yf07; https://ror.org/052rrw050,,,R000035,openalex_funder_id=F4320318146; crossref_funder_doi=https://doi.org/10.13039/100018387; openalex_priority=A; openalex_type_guess=organisation; awards_in_openalex=21; works_in_openalex=562; country_code=JP | VERIFIED: type=funder; established=2009; keep_alias=False; affiliation_usage=none_found; website=correct; ids=; confidence=medium; established_source=org_website; scope=in_scope
,https://ror.org/00za1cb91,Canon Foundation,active,funder,Canon Foundation for Scientific Research*en,Canon Foundation*en; キヤノン財団*ja; 一般財団法人キヤノン財団*ja,,https://jp.foundation.canon/,,foundation.canon,2008,100009851,100009851,,,,,,,Tokyo,Japan,1850147,,,https://ror.org/05gg0gh87,,,R000036,"openalex_funder_id=F4320311594; crossref_funder_doi=https://doi.org/10.13039/100009851; openalex_priority=A; openalex_type_guess=fund/foundation; awards_in_openalex=42; works_in_openalex=558; country_code=GB | VERIFIED: type=funder; established=2008; keep_alias=False; affiliation_usage=publications_doi; website=correct; ids=; confidence=high; established_source=org_website; adversarial_change=Overturned pass 1's unverifiable drop to in_scope and built the record from scratch. FundRef 100009851 is the Japanese 一般財団法人キヤノン財団 (Canon Foundation), Tokyo, established 2008-12-01, https://jp.foundation.canon/ - proved by matching the award name 'Grants for New Industrial Research' and named grantees (Ishikawa/Ehime, Otaka/Tokushima) deposited under the id against the foundation's own published awardee lists, plus acknowledgment text reading 'the Canon Foundation (M20-0008)'. Country changed United Kingdom -> Japan (no UK entity of the name exists in Companies House; the registry location is erroneous). Duplicate verdict stays 'rejected' but on independent evidence: no ROR record exists for this foundation, and Canon Foundation in Europe (ROR 03sjs8573, GLEIF 'Stichting Canon Foundation in Europe', NL, 1987, FundRef 100005286) is a different legal person. Added a 'related' edge to Canon Inc. (https://ror.org/05gg0gh87), which founded it and whose head-office address it shares.; scope=in_scope; adversarial_overturned=scope.verdict,official_name,labels,website,domains,website_status,established,established_basis,established_source,ror_type,country,city,geonames_id,affiliation_usage,relationships,dup_verdict.evidence"
,https://ror.org/058c2a318,"Dialysis Clinic, Inc.",active,healthcare;funder,Dialysis Clinic*en,"Dialysis Clinic, Inc.*en",DCI*en,https://www.dciinc.org,,dciinc.org,1971,100015502,100015502,,,,,Q5270633,Q5270633,Nashville,United States,4644585,,,,,,R000037,openalex_funder_id=F4320315856; crossref_funder_doi=https://doi.org/10.13039/100015502; openalex_priority=A; openalex_type_guess=organisation; awards_in_openalex=62; works_in_openalex=546; country_code=US | VERIFIED: type=healthcare; established=1971; keep_alias=False; affiliation_usage=crossref_exact; website=correct; ids=wikidata_id; confidence=high; established_source=org_website; scope=in_scope
,https://ror.org/01pvx6451,Ministry of Labour and Social Protection of the Russian Federation,active,government;funder,,Ministry of Labour and Social Protection of the Russian Federation*en; Министерство труда и социальной защиты Российской Федерации*ru,,https://mintrud.gov.ru,,mintrud.gov.ru,2012,501100013895,501100013895,,,,,Q4294762,Q4294762,Moscow,Russia,524901,,https://ror.org/056ct2144,,,,R000038,openalex_funder_id=F4320328187; crossref_funder_doi=https://doi.org/10.13039/501100013895; openalex_priority=A; openalex_type_guess=organisation; awards_in_openalex=12; works_in_openalex=544; country_code=RU | VERIFIED: type=government; established=2012; keep_alias=False; affiliation_usage=none_found; website=correct; ids=wikidata_id; confidence=high; established_source=wikipedia; scope=in_scope
,https://ror.org/01k7fxd28,Alberta Agricultural Research Institute,inactive,funder;government,,Alberta Agricultural Research Institute*en,AARI*en,,,,,100009016,100009016,,,,,,,Edmonton,Canada,5946768,,,,https://ror.org/00ynafe15,,R000039,"openalex_funder_id=F4320310946; crossref_funder_doi=https://doi.org/10.13039/100009016; openalex_priority=A; openalex_type_guess=organisation; awards_in_openalex=7; works_in_openalex=543; country_code=CA | VERIFIED: type=funder; established=unknown; keep_alias=False; affiliation_usage=none_found; website=dead; ids=; confidence=medium; established_source=not_found; adversarial_change=Overturned the duplicate verdict. Pass 1 confirmed AARI as a duplicate of https://ror.org/00ynafe15 (Alberta Innovates); an independent ROR counter-search shows AARI's fundref is on no ROR record, no Canadian record bears its name, and - decisively - ROR created https://ror.org/01kwsbp79 for the Alberta Science and Research Authority on 2026-07-05 as its own INACTIVE record rather than folding that sibling predecessor onto Alberta Innovates, while Alberta Innovates' own history page disclaims AARI and traces its lineage to SIRCA/Alberta Research Council. dup_verdict is now rejected and the merger is recorded as a successor relationship instead. Also newly evidenced: AARI was 'a provincial Crown corporation' (2000 About page), which hardens the in_scope call, and archived pages place its funding activity from about 1987-1989, well before the 1994 Act its later About page cites - so the year stays null rather than being inferred from the statute. Scope, name, labels, acronym, alias handling, affiliation_usage, website_status, ror_type, country, city, geonames_id and the null established year all re-verified and unchanged; geonames 5946768 independently re-derived from GeoNames rather than reused from the Alberta Innovates record.; scope=in_scope; adversarial_overturned=dup_verdict.verdict,dup_verdict.ror_id,relationships"
,https://ror.org/03bzs0y71,UK Catalysis Hub,active,facility;funder,,UK Catalysis Hub*en,,https://ukcatalysishub.co.uk/,,ukcatalysishub.co.uk,2013,501100019229,501100019229,,,,,,,Harwell,United Kingdom,2647385,,,https://ror.org/00gqx0331,,,R000040,openalex_funder_id=F4320330284; crossref_funder_doi=https://doi.org/10.13039/501100019229; openalex_priority=A; openalex_type_guess=organisation; awards_in_openalex=20; works_in_openalex=503; country_code=GB | VERIFIED: type=facility; established=2013; keep_alias=False; affiliation_usage=crossref_exact; website=correct; ids=; confidence=high; established_source=org_website; scope=in_scope
,https://ror.org/03qk0tg27,Arab Fund for Economic and Social Development,active,funder,,Arab Fund for Economic and Social Development*en; الصندوق العربي للإنماء الاقتصادي والاجتماعي*ar,AFESD*en,https://www.arabfund.org,,arabfund.org,1968,100012004,100012004,,,0000 0001 0727 7166,0000 0001 0727 7166,Q1137381,Q1137381,Kuwait City,Kuwait,285787,,,,,,R000041,"openalex_funder_id=F4320313187; crossref_funder_doi=https://doi.org/10.13039/100012004; openalex_priority=A; openalex_type_guess=fund/foundation; awards_in_openalex=14; works_in_openalex=503; country_code=KW | VERIFIED: type=funder; established=1968; keep_alias=False; affiliation_usage=openalex_alt_name; website=correct; ids=wikidata_id,isni; confidence=high; established_source=org_website; adversarial_change=Scope (in_scope), duplicate verdict (no_candidates), names, acronym, alias judgment, ror_type, established year, country/city/geonames and identifiers all confirmed independently and kept. Changed three fields on new positive evidence from the organization's own homepage (read via the 2025-06-02 Wayback capture, since the live host is Cloudflare-challenged): website_status 'unreachable' -> 'correct' because that capture is AFESD's own site; website '' -> 'https://www.arabfund.org' to assert the canonical https URL; established_source 'wikidata_inception' -> 'org_website' because the Fund itself states 'Year of establishment: 1968'. Flagged that the ISNI could not be re-checked at isni.org/VIAF (both HTTP 403) and so stands unverified but unchanged.; scope=in_scope; adversarial_overturned=website,website_status,established_source"
,https://ror.org/04yx0wy19,Canadian Stroke Network,active,funder,,Canadian Stroke Network*en; Réseau canadien contre les accidents cérébrovasculaires*fr,CSN*en,,,,1999,100015098,100015098,,,,,Q3456609,Q3456609,Ottawa,Canada,6094817,,,,,,R000043,openalex_funder_id=F4320315513; crossref_funder_doi=https://doi.org/10.13039/100015098; openalex_priority=A; openalex_type_guess=organisation; awards_in_openalex=10; works_in_openalex=480; country_code=CA | VERIFIED: type=funder; established=1999; keep_alias=False; affiliation_usage=crossref_exact; website=dead; ids=wikidata_id; confidence=high; established_source=org_website; scope=in_scope; adversarial_overturned=established_source
,https://ror.org/02ksjb929,Children's Miracle Network,active,nonprofit;funder,,Children's Miracle Network*en; Children's Miracle Network Hospitals*en,CMN*en,https://cmn.org,,cmn.org,1983,100018268,100018268,,,,,Q5098161,Q5098161,Salt Lake City,United States,5780993,,,,,,R000044,openalex_funder_id=F4320318046; crossref_funder_doi=https://doi.org/10.13039/100018268; openalex_priority=A; openalex_type_guess=organisation; awards_in_openalex=28; works_in_openalex=479; country_code=US | VERIFIED: type=nonprofit; established=1983; keep_alias=False; affiliation_usage=none_found; website=replaced; ids=wikidata_id; confidence=high; established_source=org_website; scope=in_scope; adversarial_overturned=established_source
,https://ror.org/03vny0n12,MedStar Health Research Institute,active,nonprofit;funder,,MedStar Health Research Institute*en; MedStar Research Institute*en,MHRI*en,https://www.medstarhealth.org/innovation-and-research/medstar-health-research-institute,,medstarresearch.org,1964,100012367,100012367,,,0000 0004 0385 0801,0000 0004 0385 0801,Q105169375,Q105169375,Columbia,United States,4352053,https://ror.org/05atemp08,,,,,R000045,"openalex_funder_id=F4320313489; crossref_funder_doi=https://doi.org/10.13039/100012367; openalex_priority=A; openalex_type_guess=organisation; awards_in_openalex=5; works_in_openalex=465; country_code=US | VERIFIED: type=nonprofit; established=1964; keep_alias=False; affiliation_usage=crossref_exact; website=correct; ids=wikidata_id,isni; confidence=high; established_source=other_source; scope=in_scope; adversarial_overturned=city,geonames_id,labels"
,https://ror.org/05n5gbc22,Hamilton Health Sciences Foundation,active,funder,,Hamilton Health Sciences Foundation*en,HHSF*en,https://hamiltonhealth.ca/,,hamiltonhealth.ca,,501100022795,501100022795,,,,,Q137365028,Q137365028,Hamilton,Canada,5969782,,,https://ror.org/02dqdxm48,,,R000046,openalex_funder_id=F4320331828; crossref_funder_doi=https://doi.org/10.13039/501100022795; openalex_priority=A; openalex_type_guess=fund/foundation; awards_in_openalex=8; works_in_openalex=464; country_code=CA | VERIFIED: type=funder; established=unknown; keep_alias=False; affiliation_usage=none_found; website=correct; ids=wikidata_id; confidence=high; established_source=not_found; scope=in_scope
,https://ror.org/05g2seg35,LabEx DISTALZ,active,facility;funder,,LabEx DISTALZ*fr; Development of Innovative Strategies for a Transdisciplinary approach to ALZheimer's disease*en; Développement de stratégies innovantes pour une approche transdisciplinaire de la maladie d'Alzheimer*fr; Laboratory of Excellence DistAlz*en,DISTALZ*fr,,,,2012,100015867,100015867,,,,,,,Lille,France,2998324,https://ror.org/02kzqn938,,,,,R000047,openalex_funder_id=F4320316132; crossref_funder_doi=https://doi.org/10.13039/100015867; openalex_priority=A; openalex_type_guess=organisation; awards_in_openalex=4; works_in_openalex=463; country_code=FR | VERIFIED: type=facility; established=2012; keep_alias=False; affiliation_usage=crossref_exact; website=not_checked; ids=; confidence=high; established_source=other_source; scope=in_scope
,https://ror.org/03g5mew86,EIT RawMaterials,active,funder,,EIT RawMaterials*en; EIT RawMaterials GmbH*en; EIT Raw Materials GmbH*en,,https://eitrawmaterials.eu/,,eitrawmaterials.eu,2015,100019625,100019625,,,,,Q131884658,Q131884658,Berlin,Germany,2950159,https://ror.org/036dxts37,,,,,R000048,"openalex_funder_id=F4320338454; crossref_funder_doi=https://doi.org/10.13039/100019625; openalex_priority=A; openalex_type_guess=organisation; awards_in_openalex=86; works_in_openalex=446; country_code=DE | VERIFIED: type=funder; established=2015; keep_alias=False; affiliation_usage=crossref_exact; website=correct; ids=wikidata_id; confidence=high; established_source=national_registry; scope=in_scope; adversarial_overturned=labels,alias_reason"
,https://ror.org/03fjgyw15,Oklahoma Children's Health Foundation,active,funder;nonprofit,Children's Hospital Foundation*en; CHFKIDS*en,Oklahoma Children's Health Foundation*en; Children's Health Foundation*en; Children's Health Foundation of Oklahoma*en; Children's Medical Research Inc.*en; Children's Medical Research*en,CMRI*en,https://chfkids.com/,,chfkids.com,1985,100001544,100001544,,,,,,,Oklahoma City,United States,4544349,,,,,,R000050,"openalex_funder_id=F4320306648; crossref_funder_doi=https://doi.org/10.13039/100001544; openalex_priority=A; openalex_type_guess=organisation; awards_in_openalex=8; works_in_openalex=436; country_code=US | VERIFIED: type=funder; established=1985; keep_alias=False; affiliation_usage=none_found; website=replaced; ids=; confidence=high; established_source=national_registry; adversarial_change=Kept pass 1's scope (in_scope), duplicate verdict (rejected), country/city/geonames, ror_type (funder) and empty relationships, and re-derived each independently. Overturned the name and the website: the IRS Form 990 public render for EIN 73-1200262 gives DBA 'Children's Health Foundation' and website https://chfkids.com/, and the organization's own About page lists 'Oklahoma Children's Health Foundation' first among its trade names - so official_name moves from the Crossref acknowledgement string to the organization's own Oklahoma-qualified name, labels gain the three current name forms, website/domains are filled instead of cleared, website_status becomes 'replaced', and established_basis firms from 'unclear' to 'incorporation' on the Form 990 'Year of formation: 1985' line.; scope=in_scope; adversarial_overturned=official_name,labels,website,website_status,domains,established_basis,established_source,cleared_fields,alias_reason"
,https://ror.org/046fppp29,Japan Nuclear Energy Safety Organization,inactive,government;funder,,Japan Nuclear Energy Safety Organization*en; 原子力安全基盤機構*ja; 独立行政法人原子力安全基盤機構*ja,JNES*en,,,,2003,501100004015,501100004015,,,0000 0001 1781 7234,0000 0001 1781 7234,Q1683163,Q1683163,Tokyo,Japan,1850147,,,,https://ror.org/01169d420,,R000051,"openalex_funder_id=F4320322285; crossref_funder_doi=https://doi.org/10.13039/501100004015; openalex_priority=A; openalex_type_guess=organisation; awards_in_openalex=2; works_in_openalex=430; country_code=JP | VERIFIED: type=government; established=2003; keep_alias=False; affiliation_usage=none_found; website=dead; ids=wikidata_id,isni; confidence=high; established_source=wikipedia; scope=in_scope"
,https://ror.org/025mny541,Alliance Française contre les Maladies Parasitaires,active,funder,,Alliance Française contre les Maladies Parasitaires*fr; LabEx ParaFrap*fr; French Parasitology Alliance For Health Care*en,ParaFrap*en,https://labex-parafrap.fr,,labex-parafrap.fr,2012,100017923,100017923,,,,,,,Lille,France,2998324,,,https://ror.org/02feahw73,,,R000053,openalex_funder_id=F4320317765; crossref_funder_doi=https://doi.org/10.13039/100017923; openalex_priority=A; openalex_type_guess=organisation; awards_in_openalex=8; works_in_openalex=416; country_code=FR | VERIFIED: type=funder; established=2012; keep_alias=False; affiliation_usage=crossref_exact; website=correct; ids=; confidence=high; established_source=other_source; scope=in_scope; adversarial_overturned=affiliation_usage
,https://ror.org/02dq5dx40,Juno Therapeutics (United States),inactive,company;funder,"Juno Therapeutics, Inc.*en",Juno Therapeutics (United States)*en; Juno Therapeutics*en,,https://www.junotherapeutics.com,,junotherapeutics.com,2013,100014561,100014561,,,0000 0004 4909 8037,0000 0004 4909 8037,Q22121867,Q22121867,Seattle,United States,5809844,https://ror.org/00gtmwv55,,,,,R000058,"openalex_funder_id=F4320333670; crossref_funder_doi=https://doi.org/10.13039/100014561; openalex_priority=A; openalex_type_guess=organisation; awards_in_openalex=2; works_in_openalex=392; country_code=US | VERIFIED: type=company; established=2013; keep_alias=False; affiliation_usage=crossref_exact; website=replaced; ids=wikidata_id,isni; confidence=high; established_source=wikipedia; scope=in_scope; adversarial_overturned=confidence"
,https://ror.org/02xybgt43,Institute of Genetics and Genomics in Geneva,active,facility;funder,,Institute of Genetics and Genomics in Geneva*en; Institute of Genetics and Genomics of Geneva*en; Institut de Génétique et de Génomique de Genève*fr,iGE3*en,https://www.ige3.unige.ch,,,2011,501100016199,501100016199,,,,,Q101040572,Q101040572,Geneva,Switzerland,2660646,https://ror.org/01swzsf04,,,,,R000059,openalex_funder_id=F4320336448; crossref_funder_doi=https://doi.org/10.13039/501100016199; openalex_priority=A; openalex_type_guess=organisation; awards_in_openalex=10; works_in_openalex=376; country_code=CH | VERIFIED: type=facility; established=2011; keep_alias=False; affiliation_usage=crossref_exact; website=correct; ids=wikidata_id; confidence=high; established_source=org_website; scope=in_scope; adversarial_overturned=wikipedia
