html_url,id,names.types.ror_display,status,types,names.types.alias,names.types.label,names.types.acronym,links.type.website,links.type.wikipedia,domains,established,external_ids.type.fundref.all,external_ids.type.fundref.preferred,external_ids.type.grid.all,external_ids.type.grid.preferred,external_ids.type.isni.all,external_ids.type.isni.preferred,external_ids.type.wikidata.all,external_ids.type.wikidata.preferred,city,country,locations.geonames_id,relationships.type.parent,relationships.type.child,relationships.type.related,relationships.type.successor,relationships.type.predecessor
,,Yen Tjing Ling Medical Foundation*en,active,nonprofit;funder,,Yen Tjing Ling Medical Foundation*en;財團法人嚴慶齡醫學基金會*zh,YTLM,https://www.ytlm.org.tw,,ytlm.org.tw,1977,501100007354,501100007354,,,,,,,Taipei,Taiwan,1668341,,,,,
,,Fujian Science and Technology Innovation Laboratory for Optoelectronic Information of China*en,active,facility;funder,Fujian Science & Technology Innovation Laboratory for Optoelectronic Information of China*en;中国福建光电信息科学与技术创新实验室*zh;闽都创新实验室*zh,Fujian Science and Technology Innovation Laboratory for Optoelectronic Information of China*en;中国福建光电信息科学与技术创新实验室（闽都创新实验室）*zh,,http://www.fjoel.cn,,fjoel.cn,2019,100020754,100020754,,,,,,,Fuzhou,China,1810821,,,,,
,,Zhejiang Traditional Chinese Medicine Administration*en,active,government;funder,Zhejiang Provincial Administration of Traditional Chinese Medicine*en;Provincial Bureau of Traditional Chinese Medicine*en;Zhejiang Traditional Chinese Medicine Administration Bureau*en,Zhejiang Traditional Chinese Medicine Administration*en;浙江省中医药管理局*zh,ZJTCM,https://wsjkw.zj.gov.cn,,,1987,501100012175,501100012175,,,,,,,Hangzhou,China,1808926,https://ror.org/00va36f15,,,,
,,Beijing Institute for Brain Disorders*en,active,facility;funder,"Beijing Institute of Brain Disorders*en;Beijing Institute for Brain Disorders, Capital Medical University*en",Beijing Institute for Brain Disorders*en;北京脑重大疾病研究院*zh,BIBD,http://www.bibd.org.cn,,bibd.org.cn,2012,501100011709,501100011709,,,,,,,Beijing,China,,https://ror.org/013xs5b60,,,,
,,Heilongjiang Youth Development Foundation*en,active,nonprofit;funder,Heilongjiang Province Youth Foundation*en;Heilongjiang Provincial Youth Development Foundation*en,Heilongjiang Youth Development Foundation*en;黑龙江省青少年发展基金会*zh,,https://www.lq.org.cn,,lq.org.cn,1988,100012549,100012549,,,,,,,Harbin,China,2037013,,,,,
,,Beijing Advanced Innovation Center for Imaging Technology*en,active,facility;funder,"Beijing Advanced Center for Imaging Theory and Technology*en;Beijing Advanced Innovation Center for Imaging Technology, CNU*en;首都师范大学 北京成像技术高精尖创新中心*zh",Beijing Advanced Innovation Center for Imaging Technology*en;北京成像技术高精尖创新中心*zh,,https://cit.cnu.edu.cn,,cit.cnu.edu.cn,2015,100014380,100014380,,,,,,,Beijing,China,1816670,https://ror.org/005edt527,,,,
,,Jiangsu Provincial Key Laboratory of New Environmental Protection*en,active,facility;funder,Key New Environmental Protection Laboratory of Jiangsu Province*en;Key Laboratory for Advanced Technology in Environmental Protection of Jiangsu Province*en,Jiangsu Provincial Key Laboratory of New Environmental Protection*en;江苏省新型环保重点实验室*zh,,https://ae.ycit.edu.cn,,ae.ycit.edu.cn,2010,100013259,100013259,,,,,,,Yancheng,China,1787746,,,https://ror.org/04y8njc86;https://ror.org/02mkqta53,,
,,Beijing National Research Center for Information Science and Technology*en,active,facility;funder,,Beijing National Research Center for Information Science and Technology*en;北京信息科学与技术国家研究中心*zh,BNRist,https://www.bnrist.tsinghua.edu.cn/bnristen/,,,2017,501100017582,501100017582,,,,,,,Beijing,China,,https://ror.org/03cve4549,,,,
,,Health Commission of Hebei Province*en,active,government;funder,Hebei Provincial Health Commission*en,Health Commission of Hebei Province*en;河北省卫生健康委员会*zh,,https://wsjkw.hebei.gov.cn,,wsjkw.hebei.gov.cn,2018,100017959,100017959,,,,,,,Shijiazhuang,China,1795270,,,,,
,,State Key Laboratory of Separation Membranes and Membrane Processes*en,active,facility;funder,分离膜与膜过程国家重点实验室*zh,State Key Laboratory of Separation Membranes and Membrane Processes*en;省部共建分离膜与膜过程国家重点实验室*zh,SKL-SMMP,https://membrane.tiangong.edu.cn,,membrane.tiangong.edu.cn,2015,501100011279,501100011279,,,,,,,Tianjin,China,1792947,https://ror.org/00xsr9m91,,,,
,,The Prince Charles Hospital Foundation*en,active,nonprofit;funder,Common Good*en;The Common Good*en;Prince Charles Hospital Foundation*en,The Prince Charles Hospital Foundation*en,TPCH Foundation,https://www.thecommongood.org.au,,thecommongood.org.au,1986,501100018853,501100018853,,,,,,,Chermside,Australia,,,,,,
,,Comissió Interdepartamental de Recerca i Innovació*ca,active,government;funder,Comissió Interdepartamental de Recerca i Innovació Tecnològica*ca,Comissió Interdepartamental de Recerca i Innovació*ca;Interdepartmental Commission for Research and Innovation*en,CIRI;CIRIT,https://web.gencat.cat/en/generalitat/com-ens-organitzem/departaments/recerca-universitats/CIRI,,,1980,501100008458,501100008458,,,,,,,Barcelona,Spain,3128760,https://ror.org/01bg62x04,,,,
,,Jiangsu Collaborative Innovation Center for Climate Change*en,active,facility;funder,"气候变化协同创新中心*zh;Jiangsu Collaborative Center for Climate Change, China*en;Jiangsu Collaborative Innovation Center of Climate Change*en",Jiangsu Collaborative Innovation Center for Climate Change*en;江苏省气候变化协同创新中心*zh,CICCC,https://ciccc2011.nju.edu.cn,,ciccc2011.nju.edu.cn,2013,501100009999,501100009999,,,,,,,Nanjing,China,,,https://ror.org/01rxvg760,,,
,,Jiangsu Key Laboratory for Advanced Metallic Materials*en,active,facility;funder,Jiangsu Provincial Key Laboratory for Advanced Metallic Materials*en;江苏省先进金属材料重点实验室*zh,Jiangsu Key Laboratory for Advanced Metallic Materials*en;江苏省先进金属材料高技术研究重点实验室*zh,JKLAMM,https://smse.seu.edu.cn/2549/list.htm,,,2007,501100011515,501100011515,,,,,,,Nanjing,China,,https://ror.org/04ct4d772,,,,
,,New Jersey Commission on Cancer Research*en,active,government;funder,New Jersey State Commission on Cancer Research*en;New Jersey Commission for Cancer Research*en,New Jersey Commission on Cancer Research*en,NJCCR,https://www.nj.gov/health/ces/njccr/,,,1983,100031445,100031445,,,,,,,Trenton,United States,5105496,,,,,
,,State Key Laboratory of Advanced Technologies for Comprehensive Utilization of Platinum Metals*en,active,facility;funder,,State Key Laboratory of Advanced Technologies for Comprehensive Utilization of Platinum Metals*en;稀贵金属综合利用新技术国家重点实验室*zh,,http://www.ipm.com.cn,,ipm.com.cn,2010,501100011450,501100011450,,,,,,,Kunming,China,,,,,,
,,State Key Laboratory of Bio-Fibers and Eco-Textiles*en,active,facility;funder,生物多糖纤维成形与生态纺织国家重点实验室*zh,State Key Laboratory of Bio-Fibers and Eco-Textiles*en;省部共建生物多糖纤维成形与生态纺织国家重点实验室*zh,,https://zdsys.qdu.edu.cn,,zdsys.qdu.edu.cn,2018,501100015244,501100015244,,,,,,,Qingdao,China,,,https://ror.org/021cj6z65,,,
,,Sichuan Provincial Administration of Traditional Chinese Medicine*en,active,government;funder,Administration of Traditional Chinese Medicine of Sichuan Province*en,Sichuan Provincial Administration of Traditional Chinese Medicine*en;四川省中医药管理局*zh,,https://sctcm.sc.gov.cn,,sctcm.sc.gov.cn,1987,501100016350,501100016350,,,,,,,Chengdu,China,1815286,,,,,
,,Water Resources Department of Guangdong Province*en,active,government;funder,Department of Water Resources of Guangdong Province*en,Water Resources Department of Guangdong Province*en;广东省水利厅*zh,,http://slt.gd.gov.cn,,slt.gd.gov.cn,2000,501100012230,501100012230,,,,,,,Guangzhou,China,1809858,https://ror.org/050m0b055,,,,
,,State Key Laboratory of Frozen Soil Engineering*en,inactive,facility;funder,,State Key Laboratory of Frozen Soil Engineering*en;冻土工程国家重点实验室*zh,SKLFSE,http://sklfse.nieer.ac.cn,,sklfse.nieer.ac.cn,1989,501100011132,501100011132,,,,,,,Lanzhou,China,1804429,https://ror.org/01jz1e142,,,,
,,State Key Laboratory Cultivation Base for Gas Geology and Gas Control*en,active,facility;funder,"State Key Laboratory Cultivation Base for Gas Geology and Gas Control of Henan Polytechnic University*en;State Key Laboratory Cultivation Base for Gas Geology and Gas Control, Henan Polytechnic University*en",State Key Laboratory Cultivation Base for Gas Geology and Gas Control*en;河南省瓦斯地质与瓦斯治理重点实验室*zh,,http://hpuwssys.com,,hpuwssys.com,2010,501100021379,501100021379,,,,,,,Jiaozuo,China,1805987,https://ror.org/05vr1c885,,,,
,,Public Hygiene and Health Commission of Shenzhen Municipality*en,active,government;funder,Health and Family Planning Commission of Shenzhen Municipality*en;Shenzhen Municipal Health and Family Planning Commission*en;Health Commission of Shenzhen Municipality*en;深圳市卫生和计划生育委员会*zh,Public Hygiene and Health Commission of Shenzhen Municipality*en;深圳市卫生健康委员会*zh,,https://wjw.sz.gov.cn,,wjw.sz.gov.cn,2019,501100014173,501100014173,,,,,,,Shenzhen,China,1795565,https://ror.org/05rcfc739,,,,
,,Fujian Provincial Federation of Social Sciences*en,active,government;funder,福建省社科联*zh;福建省社会科学联合会*zh;Fujian Provincial Social Science Planning Project*en;Fujian Social Science Planning Project*en;Social Science Planning Project of Fujian Province*en;Social Science Planning Project of Fujian Province in China*en,Fujian Provincial Federation of Social Sciences*en;福建省社会科学界联合会*zh,,https://www.fjskl.org.cn,,fjskl.org.cn,1962,501100020783,501100020783,,,,,,,Fuzhou,China,1810821,,,,,
,,Health Commission of Guizhou Province*en,active,government;funder,Guizhou Provincial Health Commission*en;Guizhou Health Committee*en;贵州省卫生委员会*zh,Health Commission of Guizhou Province*en;贵州省卫生健康委员会*zh,,https://wjw.guizhou.gov.cn,,wjw.guizhou.gov.cn,2018,100017957;501100010891,100017957,,,,,,,Guiyang,China,1809461,,,,,
,,Jiangsu Collaborative Innovation Center for Modern Crop Production*en,active,facility;funder,"Jiangsu Collaborative Innovation Center for Modern Crop Production, NAU*en",Jiangsu Collaborative Innovation Center for Modern Crop Production*en;江苏省现代作物生产协同创新中心*zh,JCIC-MCP,https://cicmcp.njau.edu.cn,,cicmcp.njau.edu.cn,2014,501100018522,501100018522,,,,,,,Nanjing,China,1799962,https://ror.org/05td3s095,,,,
,,Collaborative Innovation Center for Water Treatment Technology and Materials*en,active,facility;funder,"江苏省水处理技术与材料协同创新中心*zh;Jiangsu Collaborative Innovation Center of Technology and Material of Water Treatment, Suzhou University of Science and Technology*en",Collaborative Innovation Center for Water Treatment Technology and Materials*en;水处理技术与材料协同创新中心*zh,,https://kjcyc.usts.edu.cn/kjpt/xtcxzx.htm,,,2013,501100012502,501100012502,,,,,,,Suzhou,China,1886760,https://ror.org/04en8wb91,,,,
,,Shanxi Provincial Education Department*en,active,government;funder,"Shanxi Provincial Department of Education*en;Department of Education, Shanxi Province*en;Shanxi Department of Education*en",Shanxi Provincial Education Department*en;山西省教育厅*zh,,https://jyt.shanxi.gov.cn,,jyt.shanxi.gov.cn,,501100013794,501100013794,,,,,,,Taiyuan,China,1793511,,,,,
,,Hevolution Foundation*en,active,nonprofit;funder,,Hevolution Foundation*en;مؤسسة هيفولوشن*ar,HF,https://hevolution.com,,hevolution.com,2018,100032645,100032645,,,,,,,Riyadh,Saudi Arabia,108410,,,,,
,,Department of Education of Hainan Province*en,active,government;funder,Education Department of Hainan Province*en;Hainan Provincial Education Department*en,Department of Education of Hainan Province*en;海南省教育厅*zh,,https://edu.hainan.gov.cn,,edu.hainan.gov.cn,,501100010834,501100010834,,,,,,,Haikou,China,1809078,,,,,
,,Bethune Charitable Foundation*en,active,nonprofit;funder,,Bethune Charitable Foundation*en;白求恩公益基金会*zh,BCF,https://www.bqejjh.org.cn,,bqejjh.org.cn,2015,100016966,100016966,,,,,,,Beijing,China,1816670,,,,,
,,Health Commission of Chengdu Municipality*en,active,government;funder,Health Commission of Chengdu*en;Chengdu Municipal Health Commission*en,Health Commission of Chengdu Municipality*en;成都市卫生健康委员会*zh,,https://cdwjw.chengdu.gov.cn,,cdwjw.chengdu.gov.cn,2019,100031514,100031514,,,,,,,Chengdu,China,1816670,,,,,
,,Beijing Medical Award Foundation*en,active,nonprofit;funder,,Beijing Medical Award Foundation*en;北京医学奖励基金会*zh,,https://www.yxjl.org,,yxjl.org,2002,100032579,100032579,,,,,,,Beijing,China,1816670,,,,,
,,"China Yangtze Power Co., Ltd. (China)",active,company;funder,中国长江电力股份有限公司*zh;China Yangtze Power*en,"China Yangtze Power Co., Ltd. (China);长江电力*zh",CYPC,https://www.cypc.com.cn,,cypc.com.cn,2002,100032592,100032592,,,,,,,Wuhan,China,1791247,https://ror.org/02yqt2385,,,,
,,State Key Laboratory of Chemical Resource Engineering*en,active,facility;funder,"State Key Laboratory of Chemical Resource Engineering, BUCT*en",State Key Laboratory of Chemical Resource Engineering*en;化工资源有效利用全国重点实验室*zh,,https://gzs.buct.edu.cn/main.htm,,,2006,501100011163,501100011163,,,,,,,Beijing,China,1816670,https://ror.org/00df5yc52,,,,
,,Shanxi-Zheda Institute of Advanced Materials and Chemical Engineering*en,active,facility;funder,,Shanxi-Zheda Institute of Advanced Materials and Chemical Engineering*en;山西浙大新材料与化工研究院*zh,,http://www.simce.org.cn,,simce.org.cn,2021,100022805,100022805,,,,,,,Taiyuan,China,1793511,,,,,
,,Northern Ontario Heritage Fund Corporation*en,active,government;funder,Northern Ontario Heritage Fund*en,Northern Ontario Heritage Fund Corporation*en;Société de gestion du Fonds du patrimoine du Nord de l'Ontario*fr,NOHFC;SGFPNO,https://nohfc.ca,,nohfc.ca,1988,100015370,100015370,,,,,,,Sault Ste. Marie,Canada,6141439,,,,,
,,Korea Forestry Promotion Institute*en,active,government;funder,,Korea Forestry Promotion Institute*en;한국임업진흥원*ko,Kofpi;KOFPI,https://www.kofpi.or.kr,,kofpi.or.kr,2012,100022860,100022860,,,,,,,Seoul,South Korea,1835848,https://ror.org/05bjbww34,,,,
,,State Environmental Protection Key Laboratory of Sources and Control of Air Pollution Complex*en,active,facility;funder,State Key Laboratory of Environmental Protection in Sources of Complex Air Pollution and Their Control*en,State Environmental Protection Key Laboratory of Sources and Control of Air Pollution Complex*en;国家环境保护大气复合污染来源与控制重点实验室*zh,SCAPC,https://www.env.tsinghua.edu.cn/info/1129/5237.htm,,,2013,501100011281,501100011281,,,,,,,Beijing,China,1816670,https://ror.org/03cve4549,,,,
,,Jiangsu Provincial Key Laboratory for the Research and Utilization of Plant Resources*en,active,facility;funder,Jiangsu Key Laboratory for the Research and Utilization of Plant Resources*en;Jiangsu Center for Research and Development of Medicinal Plants*en,Jiangsu Provincial Key Laboratory for the Research and Utilization of Plant Resources*en;江苏省植物资源研究与利用重点实验室*zh,,https://jib.ac.cn,,jib.ac.cn,,501100011444,501100011444,,,,,,,Nanjing,China,1799962,,,,,
,,Egyptian Cultural and Educational Bureau*en,active,government;funder,,Egyptian Cultural and Educational Bureau*en;المكتب الثقافي التعليمي المصري بواشنطن*ar,ECEB,https://www.eecous.org,,eecous.org,,100012819,100012819,,,,,,,Washington,United States,4140963,https://ror.org/00k4cwq24,,,,
,,State Key Laboratory for Chemistry and Molecular Engineering of Medicinal Resources*en,active,facility;funder,"State Key Laboratory of Pharmaceutical Resources Chemistry and Pharmaceutical Molecular Engineering*en;MOE Key Laboratory for the Chemistry and Molecular Engineering of Medicinal Resources, GXNU*en",State Key Laboratory for Chemistry and Molecular Engineering of Medicinal Resources*en;省部共建药用资源化学与药物分子工程国家重点实验室*zh,CMEMR,http://www.cmemr.gxnu.edu.cn,,cmemr.gxnu.edu.cn,2001,501100019006,501100019006,,,,,,,Guilin,China,1809498,https://ror.org/02frt9q65,,,,
,,"Secretaría de Ciencia, Tecnología e Innovación*es",active,government;funder,,"Secretaría de Ciencia, Tecnología e Innovación*es;Secretaría de Estado de Ciencia, Tecnología e Innovación*es",SECTeI;SeCTeI,https://www.santafe.gob.ar/index.php/web/content/view/full/236062,,,2007,501100010567,501100010567,,,,,,,Santa Fe,Argentina,3836277,,https://ror.org/05e65a079,,,
,,Shanghai Key Laboratory for Particle Physics and Cosmology*en,active,facility;funder,,Shanghai Key Laboratory for Particle Physics and Cosmology*en;上海市粒子物理和宇宙学重点实验室*zh,SKLPPC,https://old.physics.sjtu.edu.cn/en/research/keylabs,,,2011,501100017131,501100017131,,,,,,,Shanghai,China,,https://ror.org/0220qvk04,,,,
,,Health Commission of Jiangxi Province*en,active,government;funder,Jiangxi Provincial Health Commission*en,Health Commission of Jiangxi Province*en;江西省卫生健康委员会*zh,,https://hc.jiangxi.gov.cn,,hc.jiangxi.gov.cn,2018,501100020205,501100020205,,,,,,,Nanchang,China,1800163,,,,,
,,Richter Gedeon Talentum Alapítvány*hu,active,nonprofit;funder,Gedeon Richter's Talentum Foundation*en;Gedeon Richter Talentum Stiftung*de;Talentum Alapítvány*hu,Richter Gedeon Talentum Alapítvány*hu;Gedeon Richter Talentum Foundation*en,RGTA,https://www.gedeonrichter.com/hu-hu/fenntarthatosag/t%C3%A1rsadalmi-szerepv%C3%A1llal%C3%A1s/alapitvanyok/rg-talentum-alapitvany,,,2008,501100011903,501100011903,,,,,,,Budapest,Hungary,3054643,,,https://ror.org/0033rtn64,,
,,"Institute of Energy, Hefei Comprehensive National Science Center*en",active,facility;funder,安徽省能源实验室*zh;Institute of Energy of Hefei Comprehensive National Science Center*en,"Institute of Energy, Hefei Comprehensive National Science Center*en;合肥综合性国家科学中心能源研究院*zh",,https://www.ie.ah.cn,,ie.ah.cn,2019,100020743,100020743,,,,,,,Hefei,China,1808722,,,,,
,,Instituto Cérebro e Mente*pt,active,healthcare;funder,Instituto Mente e Cérebro - Neurociência*pt;Instituto Mente & Cérebro - Neurociência*pt,Instituto Cérebro e Mente*pt,,https://institutocerebroemente.com.br,,institutocerebroemente.com.br,,501100013379,501100013379,,,,,,,Salvador,Brazil,3450554,,,,,
,,Science and Technology Bureau of Quanzhou*en,active,government;funder,Quanzhou Science and Technology Bureau*en;Science and Technology Bureau of Quanzhou City*en;泉州市科技局*zh,Science and Technology Bureau of Quanzhou*en;泉州市科学技术局*zh,,https://kj.quanzhou.gov.cn,,kj.quanzhou.gov.cn,,501100018624,501100018624,,,,,,,Quanzhou,China,1797353,,,,,
,,Changping Laboratory*en,active,facility;funder,Beijing Changping Laboratory*en,Changping Laboratory*en;昌平实验室*zh,CPL,https://www.cpl.ac.cn,,cpl.ac.cn,2020,100031910,100031910,,,,,,,Beijing,China,1816670,,,,,
,,Changsha Science and Technology Bureau*en,active,government;funder,"Science and Technology Bureau, Changsha*en;Changsha Municipal Science and Technology Bureau*en",Changsha Science and Technology Bureau*en;长沙市科学技术局*zh,,http://kjj.changsha.gov.cn,,kjj.changsha.gov.cn,,501100011496,501100011496,,,,,,,Changsha,China,1815577,,,,,
,,Zhejiang Office of Philosophy and Social Science*en,active,government;funder,Zhejiang Provincial Office of Philosophy and Social Sciences*en;Office of Philosophy and Social Science of Zhejiang Province*en;浙江省哲学社会科学工作办公室*zh,Zhejiang Office of Philosophy and Social Science*en;浙江省哲学社会科学办公室*zh,,https://www.zjskw.gov.cn,,zjskw.gov.cn,,100018978,100018978,,,,,,,Hangzhou,China,1808926,,,,,
,,Saskatchewan Wheat Development Commission*en,active,nonprofit;funder,Sask Wheat Development Commission*en,Saskatchewan Wheat Development Commission*en,Sask Wheat,https://saskwheat.ca,,saskwheat.ca,2013,501100022103,501100022103,,,,,,,Saskatoon,Canada,6141256,,,,,
,,Korea Ginseng Corporation (South Korea),active,company;funder,Korea Ginseng Corp*en,Korea Ginseng Corporation (South Korea);한국인삼공사*ko,KGC,https://www.kgc.co.kr,,kgc.co.kr,1999,501100014775,501100014775,,,,,,,Daejeon,South Korea,1835235,https://ror.org/02rzqa255,,,,
,,Kentucky Spinal Cord and Head Injury Research Trust*en,active,government;funder,,Kentucky Spinal Cord and Head Injury Research Trust*en,KSCHIRT,https://chfs.ky.gov/agencies/dph/dpqi/hcab/Pages/kschirb.aspx,,,1994,100012645,100012645,,,,,,,Frankfort,United States,,,,,,
,,Vingroup Innovation Foundation*en,active,nonprofit;funder,Vingroup Innovation Fund*en,Vingroup Innovation Foundation*en;Quỹ Đổi mới sáng tạo Vingroup*vi,VINIF,https://vinif.org,,vinif.org,2018,501100015501,501100015501,,,,,,,Hanoi,Vietnam,1581129,https://ror.org/03j51tb87,,,,
,,Uchida Energy Science Promotion Foundation*en,active,nonprofit;funder,内田エネルギー科学振興財団*ja;The Uchida Energy Science Promotion Foundation*en,Uchida Energy Science Promotion Foundation*en;公益財団法人内田エネルギー科学振興財団*ja,,https://www.corona.co.jp/energy/,,,1994,100015916,100015916,,,,,,,Sanjō,Japan,1852984,,,,,
,,Zhongshan Science and Technology Bureau*en,active,government;funder,Zhongshan Municipal Bureau of Science and Technology*en,Zhongshan Science and Technology Bureau*en;中山市科学技术局*zh,,https://kj.zs.gov.cn,,kj.zs.gov.cn,2009,501100017291,501100017291,,,,,,,Zhongshan,China,1784313,,,,,
,,Beijing Synchrotron Radiation Facility*en,active,facility;funder,,Beijing Synchrotron Radiation Facility*en;北京同步辐射装置*zh,BSRF,https://bsrf.ihep.cas.cn,https://zh.wikipedia.org/wiki/%E5%8C%97%E4%BA%AC%E5%90%8C%E6%AD%A5%E8%BE%90%E5%B0%84%E8%A3%85%E7%BD%AE,bsrf.ihep.cas.cn,1991,501100014938,501100014938,,,,,,,Beijing,China,1816670,https://ror.org/03v8tnc06,,,,
,,Bureau of Science and Technology of Jiangmen Municipality*en,active,government;funder,Jiangmen Science and Technology Bureau*en,Bureau of Science and Technology of Jiangmen Municipality*en;江门市科学技术局*zh,,https://www.jiangmen.gov.cn/bmpd/jmskxjsj/,,,2009,501100011492,501100011492,,,,,,,Jiangmen,China,1806299,,,,,
,,Ryobi Teien Memory Foundation*en,active,nonprofit;funder,Ryobi Teien Memorial Foundation*en,Ryobi Teien Memory Foundation*en;公益財団法人 両備檉園記念財団*ja,,https://www.ryobi.gr.jp/teienzaidan/,,,1972,501100013171,501100013171,,,,,,,Okayama,Japan,1854383,,,,,
,,Anhui Office of Philosophy and Social Science*en,active,government;funder,Anhui Provincial Philosophy and Social Science Planning Project*en;Anhui Province Philosophy Social Science Foundation*en;Philosophy and Social Science Planning of Anhui Province*en;Anhui Philosophy and Social Science Planning Project*en,Anhui Office of Philosophy and Social Science*en;安徽省哲学社会科学规划办公室*zh,,http://www.ahshkx.com,,ahshkx.com,,100018977,100018977,,,,,,,Hefei,China,1808722,,,https://ror.org/04m0ms912,,
,,GE Aerospace Foundation*en,active,nonprofit;funder,GE Foundation*en;The GE Foundation*en;General Electric Foundation*en,GE Aerospace Foundation*en,,https://www.geaerospace.com/company/philanthropy,,,1952,100015759,100015759,,,,,,,Norwalk,United States,,,,,,
,,Guangdong Provincial Key Laboratory of Environmental Pollution Control and Remediation Technology*en,active,facility;funder,,Guangdong Provincial Key Laboratory of Environmental Pollution Control and Remediation Technology*en;广东省环境污染控制与修复技术重点实验室*zh,,https://sese.sysu.edu.cn,,,2005,501100011275,501100011275,,,,,,,Guangzhou,China,1809858,https://ror.org/0064kty71,,,,
