html_url,id,names.types.ror_display,status,types,names.types.alias,names.types.label,names.types.acronym,links.type.website,links.type.wikipedia,domains,established,external_ids.type.fundref.all,external_ids.type.fundref.preferred,external_ids.type.grid.all,external_ids.type.grid.preferred,external_ids.type.isni.all,external_ids.type.isni.preferred,external_ids.type.wikidata.all,external_ids.type.wikidata.preferred,city,country,locations.geonames_id,ror_id,parent,child,related,successor,predecessor,nid,comments,,,,,,,
,,Politeknik Kota Kinabalu*ms,active,education,,Politeknik Kota Kinabalu*ms,PKK*ms,https://polikk.mypolycc.edu.my,,polikk.edu.my,1996,,,,,,,Q12701145,Q12701145,Kota Kinabalu,Malaysia,1733432,,,,,,,R000077,source=mqa_mqr; source_url=https://www2.mqa.gov.my/mqr/english/eakrbyiptapoli.cfm; mqr_category=eakrbyiptapoli; mqa_id=632; mqr_detail_url=https://www2.mqa.gov.my/mqr/english/eiptaKPList.cfm?IDAkrIPTS=632; state=Sabah | VERIFIED: type=education; established=1996; keep_alias=False; affiliation_usage=none_found; website=correct; ids=wikidata_id; confidence=high; established_source=wikipedia; scope=in_scope,,,,,,,
,,Politeknik Kuala Terengganu*ms,active,education,Politeknik Kota Kuala Terengganu*ms,Politeknik Kuala Terengganu*ms,PKT*ms,https://pkt.mypolycc.edu.my,,pkt.mypolycc.edu.my,1999,,,,,,,Q12701149,Q12701149,Kuala Terengganu,Malaysia,1734705,,,,,,,R000078,source=mqa_mqr; source_url=https://www2.mqa.gov.my/mqr/english/eakrbyiptapoli.cfm; mqr_category=eakrbyiptapoli; mqa_id=623; mqr_detail_url=https://www2.mqa.gov.my/mqr/english/eiptaKPList.cfm?IDAkrIPTS=623; state=Terengganu | VERIFIED: type=education; established=1999; keep_alias=False; affiliation_usage=crossref_exact; website=replaced; ids=wikidata_id; confidence=high; established_source=wikipedia; scope=in_scope,,,,,,,
,,Politeknik Melaka*ms,active,education,Politeknik Kota Melaka*ms,Politeknik Melaka*ms,PMK*ms;PKM*ms,https://polimelaka.mypolycc.edu.my,,polimelaka.mypolycc.edu.my,1999,,,,,,,Q20458819,Q20458819,Malacca,Malaysia,1734759,,,,,,,R000080,source=mqa_mqr; source_url=https://www2.mqa.gov.my/mqr/english/eakrbyiptapoli.cfm; mqr_category=eakrbyiptapoli; mqa_id=621; mqr_detail_url=https://www2.mqa.gov.my/mqr/english/eiptaKPList.cfm?IDAkrIPTS=621; state=Malacca | VERIFIED: type=education; established=1999; keep_alias=False; affiliation_usage=none_found; website=correct; ids=wikidata_id; confidence=high; established_source=org_website; scope=in_scope,,,,,,,
,,Politeknik Merlimau Melaka*ms,active,education,Politeknik Merlimau*ms,Politeknik Merlimau Melaka*ms,PMM*ms,http://www.pmm.edu.my,,pmm.edu.my,2002,,,,,,,Q12701150,Q12701150,Merlimau,Malaysia,1734762,,,,,,,R000081,"source=mqa_mqr; source_url=https://www2.mqa.gov.my/mqr/english/eakrbyiptapoli.cfm; mqr_category=eakrbyiptapoli; mqa_id=631; mqr_detail_url=https://www2.mqa.gov.my/mqr/english/eiptaKPList.cfm?IDAkrIPTS=631; state=Malacca | VERIFIED: type=education; established=2002; keep_alias=False; affiliation_usage=none_found; website=correct; ids=wikidata_id; confidence=high; established_source=wikipedia; adversarial_change=Corrected website and domains: pass 1's polimelaka.edu.my is Politeknik Melaka's domain (MQR ID 621, a different institution), so it is wrong_org; replaced with pmm.edu.my, the website the MQR register itself lists for Politeknik Merlimau Melaka (IDAkrIPTS=631) and that Malay Wikipedia's infobox names. All other fields (scope in_scope, no dup candidates, PMM acronym, 2002 founding, Q12701150, Merlimau/1734762, education type) verified and adopted.; scope=in_scope; adversarial_overturned=website,domains",,,,,,,
,,Politeknik METrO Johor Bahru*ms,active,education,,Politeknik METrO Johor Bahru*ms,PMJB*ms,http://www.pmjb.edu.my,,pmjb.edu.my,2011,,,,,,,,,Johor Bahru,Malaysia,1732752,,,,,,,R000083,"source=mqa_mqr; source_url=https://www2.mqa.gov.my/mqr/english/eakrbyiptapoli.cfm; mqr_category=eakrbyiptapoli; mqa_id=661; mqr_detail_url=https://www2.mqa.gov.my/mqr/english/eiptaKPList.cfm?IDAkrIPTS=661; state=Johor | VERIFIED: type=education; established=2011; keep_alias=False; affiliation_usage=crossref_exact; website=unreachable; ids=; confidence=high; established_source=org_website; scope=in_scope; adversarial_overturned=affiliation_usage,established_source",,,,,,,
,,Politeknik METrO Kuantan*ms,active,education,,Politeknik METrO Kuantan*ms,PMKU*ms,http://www.pmku.edu.my,,pmku.edu.my,2011,,,,,,,Q12701151,Q12701151,Kuantan,Malaysia,1735227,,,,,,,R000084,"source=mqa_mqr; source_url=https://www2.mqa.gov.my/mqr/english/eakrbyiptapoli.cfm; mqr_category=eakrbyiptapoli; mqa_id=654; mqr_detail_url=https://www2.mqa.gov.my/mqr/english/eiptaKPList.cfm?IDAkrIPTS=654; state=Pahang | VERIFIED: type=education; established=2011; keep_alias=False; affiliation_usage=none_found; website=correct; ids=; confidence=high; established_source=org_website; adversarial_change=Verified all pass-1 claims against primary sources (MQR entry 654, PMKU strategic plan PDF, my own GeoNames and ROR API queries). All values confirmed except website handling: the site is positively reachable over HTTP (200, 'Portal Rasmi Politeknik METrO Kuantan') while HTTPS fails on every variant, so website_status corrected from 'unreachable' to 'correct' and the website scheme changed to http:// for a working link. Duplicate verdict re-derived independently: zero Malaysian METrO polytechnic in ROR.; scope=in_scope; adversarial_overturned=website_status,website",,,,,,,
,,Politeknik METrO Tasek Gelugor*ms,active,education,,Politeknik METrO Tasek Gelugor*ms,PMTG*ms,https://www.pmtg.edu.my,,pmtg.edu.my,2012,,,,,,,,,Tasek Gelugor,Malaysia,1735093,,,,,,,R000085,source=mqa_mqr; source_url=https://www2.mqa.gov.my/mqr/english/eakrbyiptapoli.cfm; mqr_category=eakrbyiptapoli; mqa_id=780; mqr_detail_url=https://www2.mqa.gov.my/mqr/english/eiptaKPList.cfm?IDAkrIPTS=780; state=Penang | VERIFIED: type=education; established=2012; keep_alias=False; affiliation_usage=none_found; website=correct; ids=; confidence=high; established_source=org_website; scope=in_scope,,,,,,,
,,Politeknik Muadzam Shah*ms,active,education,,Politeknik Muadzam Shah*ms,PMS*ms,https://pms.mypolycc.edu.my,,pms.mypolycc.edu.my,2003,,,,,,,,,Muadzam Shah,Malaysia,7697167,,,,,,,R000086,source=mqa_mqr; source_url=https://www2.mqa.gov.my/mqr/english/eakrbyiptapoli.cfm; mqr_category=eakrbyiptapoli; mqa_id=648; mqr_detail_url=https://www2.mqa.gov.my/mqr/english/eiptaKPList.cfm?IDAkrIPTS=648; state=Pahang | VERIFIED: type=education; established=2003; keep_alias=False; affiliation_usage=crossref_exact; website=correct; ids=wikidata_id; confidence=high; established_source=wikipedia; scope=in_scope; adversarial_overturned=affiliation_usage,,,,,,,
,,Politeknik Mukah*ms,active,education,Mukah Polytechnic*en;Mukah Sarawak Polytechnic*en,Politeknik Mukah*ms;Politeknik Mukah Sarawak*ms,PMU*ms,https://pmu.mypolycc.edu.my,,pmu.edu.my; pmu.mypolycc.edu.my,2004,,,,,,,Q107969736,Q107969736,Mukah,Malaysia,1735339,,,,,,,R000087,source=mqa_mqr; source_url=https://www2.mqa.gov.my/mqr/english/eakrbyiptapoli.cfm; mqr_category=eakrbyiptapoli; mqa_id=624; mqr_detail_url=https://www2.mqa.gov.my/mqr/english/eiptaKPList.cfm?IDAkrIPTS=624; state=Sarawak | VERIFIED: type=education; established=2004; keep_alias=True; affiliation_usage=none_found; website=correct; ids=wikidata_id; confidence=high; established_source=wikipedia; scope=in_scope; adversarial_overturned=alias_values,,,,,,,
,,Politeknik Nilai*ms,active,education,,Politeknik Nilai*ms,PNS*ms,https://www.polinilai.edu.my,,polinilai.edu.my,2007,,,,,,,,,Bandar Enstek,Malaysia,13117900,,,,,,,R000088,source=mqa_mqr; source_url=https://www2.mqa.gov.my/mqr/english/eakrbyiptapoli.cfm; mqr_category=eakrbyiptapoli; mqa_id=655; mqr_detail_url=https://www2.mqa.gov.my/mqr/english/eiptaKPList.cfm?IDAkrIPTS=655; state=Negeri Sembilan | VERIFIED: type=education; established=2007; keep_alias=False; affiliation_usage=none_found; website=correct; ids=wikidata_id; confidence=high; established_source=org_website; scope=in_scope,,,,,,,
,,Politeknik Port Dickson*ms,active,education,,Politeknik Port Dickson*ms,PPD*ms,https://polipd.mypolycc.edu.my,,polipd.mypolycc.edu.my,1990,,,,,,,,,Si Rusa,Malaysia,1764258,,,,,,,R000089,source=mqa_mqr; source_url=https://www2.mqa.gov.my/mqr/english/eakrbyiptapoli.cfm; mqr_category=eakrbyiptapoli; mqa_id=664; mqr_detail_url=https://www2.mqa.gov.my/mqr/english/eiptaKPList.cfm?IDAkrIPTS=664; state=Negeri Sembilan | VERIFIED: type=education; established=1990; keep_alias=False; affiliation_usage=crossref_exact; website=correct; ids=; confidence=high; established_source=wikipedia; scope=in_scope,,,,,,,
,,Politeknik Sandakan Sabah*ms,active,education,Politeknik Sandakan*ms,Politeknik Sandakan Sabah*ms,PSS*ms,https://pss.mypolycc.edu.my,,pss.edu.my,2008,,,,,,,Q20454212,Q20454212,Sandakan,Malaysia,1734052,,,,,,,R000090,source=mqa_mqr; source_url=https://www2.mqa.gov.my/mqr/english/eakrbyiptapoli.cfm; mqr_category=eakrbyiptapoli; mqa_id=665; mqr_detail_url=https://www2.mqa.gov.my/mqr/english/eiptaKPList.cfm?IDAkrIPTS=665; state=Sabah | VERIFIED: type=education; established=2008; keep_alias=False; affiliation_usage=crossref_exact; website=correct; ids=wikidata_id; confidence=high; established_source=wikipedia; scope=in_scope,,,,,,,
,,Politeknik Sultan Abdul Halim Mu'adzam Shah*ms,active,education,Politeknik Alor Setar*ms,Politeknik Sultan Abdul Halim Mu'adzam Shah*ms,POLIMAS*ms,https://polimas.mypolycc.edu.my,,polimas.edu.my,1984,,,,,,,,,Jitra,Malaysia,1736302,,,,,,,R000091,source=mqa_mqr; source_url=https://www2.mqa.gov.my/mqr/english/eakrbyiptapoli.cfm; mqr_category=eakrbyiptapoli; mqa_id=641; mqr_detail_url=https://www2.mqa.gov.my/mqr/english/eiptaKPList.cfm?IDAkrIPTS=641; state=Kedah | VERIFIED: type=education; established=1984; keep_alias=False; affiliation_usage=none_found; website=unreachable; ids=wikidata_id; confidence=high; established_source=wikipedia; scope=in_scope,,,,,,,
,,Politeknik Sultan Azlan Shah*ms,active,education,Politeknik Tanjung Malim*ms,Politeknik Sultan Azlan Shah*ms;Sultan Azlan Shah Polytechnic*en,PSAS*ms,https://www.psas.edu.my,,psas.edu.my,2002,,,,,,,Q7227078,Q7227078,Behrang,Malaysia,13117826,,,,,,,R000092,source=mqa_mqr; source_url=https://www2.mqa.gov.my/mqr/english/eakrbyiptapoli.cfm; mqr_category=eakrbyiptapoli; mqa_id=574; mqr_detail_url=https://www2.mqa.gov.my/mqr/english/eiptaKPListAA.cfm?IDAkrIPTS=574; state=Perak | VERIFIED: type=education; established=2002; keep_alias=True; affiliation_usage=crossref_exact; website=correct; ids=wikidata_id; confidence=high; established_source=org_website; scope=in_scope; adversarial_overturned=affiliation_usage,,,,,,,
,,Politeknik Sultan Haji Ahmad Shah*ms,active,education,Politeknik Kuantan*ms;Poli Kuantan*ms,Politeknik Sultan Haji Ahmad Shah*ms,POLISAS*ms,https://www.polisas.edu.my,,polisas.edu.my,1976,,,,,,,Q12701156,Q12701156,Kuantan,Malaysia,1735227,,,,,,,R000093,source=mqa_mqr; source_url=https://www2.mqa.gov.my/mqr/english/eakrbyiptapoli.cfm; mqr_category=eakrbyiptapoli; mqa_id=653; mqr_detail_url=https://www2.mqa.gov.my/mqr/english/eiptaKPList.cfm?IDAkrIPTS=653; state=Pahang | VERIFIED: type=education; established=1976; keep_alias=False; affiliation_usage=crossref_exact; website=unreachable; ids=wikidata_id; confidence=high; established_source=wikipedia; scope=in_scope,,,,,,,
,,Politeknik Sultan Idris Shah*ms,active,education,Politeknik Sabak Bernam*ms,Politeknik Sultan Idris Shah*ms,PSIS*ms,https://www.psis.edu.my,,psis.edu.my,2003,,,,,,,Q20458835,Q20458835,Sungai Air Tawar,Malaysia,1735190,,,,,,,R000094,source=mqa_mqr; source_url=https://www2.mqa.gov.my/mqr/english/eakrbyiptapoli.cfm; mqr_category=eakrbyiptapoli; mqa_id=656; mqr_detail_url=https://www2.mqa.gov.my/mqr/english/eiptaKPList.cfm?IDAkrIPTS=656; state=Selangor | VERIFIED: type=education; established=2003; keep_alias=True; affiliation_usage=crossref_exact; website=correct; ids=wikidata_id; confidence=high; established_source=wikipedia; scope=in_scope; adversarial_overturned=affiliation_usage,,,,,,,
,,Politeknik Sultan Mizan Zainal Abidin*ms,active,education,Politeknik Dungun Terengganu*ms,Politeknik Sultan Mizan Zainal Abidin*ms,PSMZA*ms,https://psmza.mypolycc.edu.my,,psmza.mypolycc.edu.my,2001,,,,,,,Q20458842,Q20458842,Dungun,Malaysia,1734308,,,,,,,R000095,source=mqa_mqr; source_url=https://www2.mqa.gov.my/mqr/english/eakrbyiptapoli.cfm; mqr_category=eakrbyiptapoli; mqa_id=633; mqr_detail_url=https://www2.mqa.gov.my/mqr/english/eiptaKPList.cfm?IDAkrIPTS=633; state=Terengganu | VERIFIED: type=education; established=2001; keep_alias=False; affiliation_usage=none_found; website=correct; ids=wikidata_id; confidence=high; established_source=wikipedia; scope=in_scope,,,,,,,
,,Politeknik Sultan Salahuddin Abdul Aziz Shah*ms,active,education,Politeknik Shah Alam*ms;Politeknik Premier Sultan Salahuddin Abdul Aziz Shah*ms,Politeknik Sultan Salahuddin Abdul Aziz Shah*ms,PSA*ms,https://psa.mypolycc.edu.my,,,1997,,,,,,,Q12701158,Q12701158,Shah Alam,Malaysia,1732903,,,,,,,R000096,source=mqa_mqr; source_url=https://www2.mqa.gov.my/mqr/english/eakrbyiptapoli.cfm; mqr_category=eakrbyiptapoli; mqa_id=549; mqr_detail_url=https://www2.mqa.gov.my/mqr/english/eiptaKPListAA.cfm?IDAkrIPTS=549; state=Selangor | VERIFIED: type=education; established=1997; keep_alias=True; affiliation_usage=crossref_exact; website=unreachable; ids=wikidata_id; confidence=high; established_source=wikipedia; scope=in_scope,,,,,,,
,,Politeknik Tawau Sabah*ms,active,education,,Politeknik Tawau Sabah*ms,PTS*ms,https://politawau.mypolycc.edu.my,,politawau.mypolycc.edu.my,,,,,,,,,,Tawau,Malaysia,1734199,,,,,,,R000097,"source=mqa_mqr; source_url=https://www2.mqa.gov.my/mqr/english/eakrbyiptapoli.cfm; mqr_category=eakrbyiptapoli; mqa_id=948; mqr_detail_url=https://www2.mqa.gov.my/mqr/english/eiptaKPList.cfm?IDAkrIPTS=948; state=Sabah | VERIFIED: type=education; established=unknown; keep_alias=False; affiliation_usage=none_found; website=correct; ids=; confidence=high; established_source=not_found; adversarial_change=Confirmed in_scope, dup_verdict no_candidates, website politawau.mypolycc.edu.my (independently confirmed by the JPPKK official polytechnic list), acronym PTS, country/city/geonames (Tawau 1734199) via MQR, portal, JPPKK, ROR API and a fresh GeoNames call. Overturned established: pass 1's cited brochure URL now serves an unrelated Canva burger-menu PDF, and no other official source states a founding year (the MQR page's 2013 DTM accreditation conflicts with 2017), so established is null with basis/source to not_found.; scope=in_scope; adversarial_overturned=established,established_basis,established_source",,,,,,,
,,Politeknik Tuanku Sultanah Bahiyah*ms,active,education,Politeknik Kulim*ms,Politeknik Tuanku Sultanah Bahiyah*ms,PTSB*ms,www.ptsb.edu.my,,ptsb.edu.my,2003,,,,,,,Q12701157,Q12701157,Kulim,Malaysia,1734393,,,,,,,R000098,source=mqa_mqr; source_url=https://www2.mqa.gov.my/mqr/english/eakrbyiptapoli.cfm; mqr_category=eakrbyiptapoli; mqa_id=620; mqr_detail_url=https://www2.mqa.gov.my/mqr/english/eiptaKPList.cfm?IDAkrIPTS=620; state=Kedah | VERIFIED: type=education; established=2003; keep_alias=True; affiliation_usage=crossref_exact; website=correct; ids=wikidata_id; confidence=high; established_source=wikipedia; scope=in_scope,,,,,,,
,,Politeknik Seberang Perai*ms,active,education,Seberang Perai Polytechnic*en,Politeknik Seberang Perai*ms,PSP*ms,http://www.psp.edu.my,,psp.edu.my,1998,,,,,,,Q12701153,Q12701153,Permatang Pauh,Malaysia,1750488,,,,,,,R000101,source=mqa_mqr; source_url=https://www2.mqa.gov.my/mqr/english/eakrbyiptapoli.cfm; mqr_category=eakrbyiptapoli; mqa_id=627; mqr_detail_url=https://www2.mqa.gov.my/mqr/english/eiptaKPList.cfm?IDAkrIPTS=627; state=Penang | VERIFIED: type=education; established=1998; keep_alias=True; affiliation_usage=none_found; website=correct; ids=wikidata_id; confidence=high; established_source=org_website; scope=in_scope,,,,,,,
,,Politeknik Tun Syed Nasir Syed Ismail*ms,active,education,,Politeknik Tun Syed Nasir Syed Ismail*ms;Tun Syed Nasir Syed Ismail Polytechnic*en,PTSN*ms,http://www.ptsn.edu.my,,ptsn.edu.my,2014,,,,,,,,,Muar,Malaysia,1732869,,,,,,,R000102,source=mqa_mqr; source_url=https://www2.mqa.gov.my/mqr/english/eakrbyiptapoli.cfm; mqr_category=eakrbyiptapoli; mqa_id=818; mqr_detail_url=https://www2.mqa.gov.my/mqr/english/eiptaKPList.cfm?IDAkrIPTS=818; state=Johor | VERIFIED: type=education; established=2014; keep_alias=True; affiliation_usage=crossref_exact; website=unreachable; ids=; confidence=high; established_source=other_source; scope=in_scope,,,,,,,
,,Universiti Al-Quran Al-Sultan Abdullah Ahmad Shah Pahang*ms,active,education,Kolej Islam Pahang Sultan Ahmad Shah*ms;Kolej Universiti Islam Pahang Sultan Ahmad Shah*ms;Universiti Islam Pahang Sultan Ahmad Shah*ms,Universiti Al-Quran Al-Sultan Abdullah Ahmad Shah Pahang*ms;Al-Sultan Abdullah Ahmad Shah Quranic University of Pahang*en,UNIQSAAS*ms;UniPSAS*ms,https://uniqsaas.edu.my,,uniqsaas.edu.my,1999,,,,,,,,,Kuantan,Malaysia,1735227,,,,,,,R000106,source=mqa_mqr; source_url=https://www2.mqa.gov.my/mqr/english/eakrbyipts.cfm; mqr_category=eakrbyipts; mqa_id=82; mqr_detail_url=https://www2.mqa.gov.my/mqr/english/eakrKPList.cfm?IDAkrIPTS=82; state=Pahang; former_name=Universiti Islam Pahang Sultan Ahmad Shah (UniPSAS); jpt_match=name; jpt_section=UNIVERSITI SWASTA - PAHANG; jpt_registration=30/09/2026-29/09/2031 | VERIFIED: type=education; established=1999; keep_alias=True; affiliation_usage=crossref_exact; website=correct; ids=; confidence=high; established_source=national_registry; scope=in_scope; adversarial_overturned=affiliation_usage,,,,,,,
,,Asia Metropolitan University*en,active,education,"Asia Metropolitan University, Johor Bahru Branch Campus*en;Universiti Metropolitan Asia, Kampus Cawangan Johor Bahru*ms",Asia Metropolitan University*en;Universiti Metropolitan Asia*ms,AMU*en,https://amu.edu.my,,amu.edu.my,2004,,,,,0000 0004 4689 4441,0000 0004 4689 4441,Q99285466,Q99285466,Johor Bahru,Malaysia,1732752,,,,,,,R000108,"source=mqa_mqr; source_url=https://www2.mqa.gov.my/mqr/english/eakrbyipts.cfm; mqr_category=eakrbyipts; mqa_id=630; mqr_detail_url=https://www2.mqa.gov.my/mqr/english/eakrKPList.cfm?IDAkrIPTS=630; state=Johor; former_name=Asia Metropolitan University, Johor Bahru Branch Campus; former_name_ms=Universiti Metropolitan Asia, Kampus Cawangan Johor Bahru; jpt_match=name; jpt_section=UNIVERSITI SWASTA – JOHOR; jpt_registration=16/10/2022-15/10/2027 | VERIFIED: type=education; established=2004; keep_alias=True; affiliation_usage=crossref_exact; website=correct; ids=wikidata_id,isni; confidence=high; established_source=org_website; scope=in_scope; adversarial_overturned=affiliation_usage",,,,,,,
